Event,Version,Platform,Params,
Interaction,16,iPad,{ Type : Touch;  Time Start : 26-Oct 15:31:36:097 PM;  Object : Small Bubble;  Subject ID : 10261601;  Stage ID : -5854003446853161094},
Interaction,16,iPad,{ Type : Touch;  Time Start : 26-Oct 15:31:36:100 PM;  Object : Small Bubble;  Subject ID : 10261601;  Stage ID : -5854003446853161094},
Interaction,16,iPad,{ Type : Touch;  Time Start : 26-Oct 15:31:36:126 PM;  Object : Small Bubble;  Subject ID : 10261601;  Stage ID : -5854003446853161094},
Interaction,16,iPad,{ Type : Touch;  Time Start : 26-Oct 15:31:37:096 PM;  Object : Bubble;  Subject ID : 10261601;  Stage ID : -5854003446853161094},
Interaction,16,iPad,{ Type : Touch;  Time Start : 26-Oct 15:31:37:177 PM;  Object : Small Bubble;  Subject ID : 10261601;  Stage ID : -5854003446853161094},
Interaction,16,iPad,{ Type : Touch;  Time Start : 26-Oct 15:31:38:663 PM;  Object : Background;  Subject ID : 10261601;  Stage ID : -5854003446853161094},
Interaction,16,iPad,{ Type : Touch;  Time Start : 26-Oct 15:31:38:663 PM;  Object : Bubble;  Subject ID : 10261601;  Stage ID : -5854003446853161094},
Interaction,16,iPad,{ Type : Touch;  Time Start : 26-Oct 15:31:42:079 PM;  Object : Bubble;  Subject ID : 10261601;  Stage ID : -5854003446853161094},
Interaction,16,iPad,{ Type : Touch;  Time Start : 26-Oct 15:31:43:354 PM;  Object : Bubble;  Subject ID : 10261601;  Stage ID : -5854003446853161094},
Interaction,16,iPad,{ Type : Touch;  Time Start : 26-Oct 15:31:43:414 PM;  Object : Bubble;  Subject ID : 10261601;  Stage ID : -5854003446853161094},
Interaction,16,iPad,{ Type : Touch;  Time Start : 26-Oct 15:31:45:852 PM;  Object : Bubble;  Subject ID : 10261601;  Stage ID : -5854003446853161094},
Interaction,16,iPad,{ Type : Touch;  Time Start : 26-Oct 15:31:48:114 PM;  Object : Bubble;  Subject ID : 10261601;  Stage ID : -5854003446853161094},
Interaction,16,iPad,{ Type : Touch;  Time Start : 26-Oct 15:31:50:162 PM;  Object : Small Bubble;  Subject ID : 10261601;  Stage ID : -5854003446853161094},
Interaction,16,iPad,{ Type : Touch;  Time Start : 26-Oct 15:31:51:276 PM;  Object : Bubble;  Subject ID : 10261601;  Stage ID : -5854003446853161094},
Interaction,16,iPad,{ Type : Touch;  Time Start : 26-Oct 15:31:51:329 PM;  Object : Small Bubble;  Subject ID : 10261601;  Stage ID : -5854003446853161094},
Interaction,16,iPad,{ Type : Touch;  Time Start : 26-Oct 15:31:51:333 PM;  Object : Small Bubble;  Subject ID : 10261601;  Stage ID : -5854003446853161094},
Interaction,16,iPad,{ Type : Touch;  Time Start : 26-Oct 15:31:51:358 PM;  Object : Next Button;  Subject ID : 10261601;  Stage ID : -5854003446853161094},
Session,16,iPad,{ Stage Type : Welcome;  Responsive Start Time : 26-Oct 15:31:51:423 PM;  Stage ID : 6646052609915995519;  Subject ID : 10261601;  Start Time : 26-Oct 15:31:51:423 PM;  End Time : 26-Oct 15:31:53:680 PM},
Interaction,16,iPad,{ Type : Touch;  Time Start : 26-Oct 15:31:53:317 PM;  Object : Background;  Subject ID : 10261601;  Stage ID : 6646052609915995519},
Session,16,iPad,{ Stage Type : Identify;  Subject ID : 10261601;  Fox Assistance : None;  Start Time : 26-Oct 15:31:53:828 PM;  Responsive Start Time : 26-Oct 15:31:55:327 PM;  Correct First Try? : Y;  Object : bowl;  Stage ID : -4750960333630540150;  End Time : 26-Oct 15:31:57:011 PM},
Object Category,16,iPad,{ Subject ID : 10261601;  Category : Target Object;  Object 1 : Objects/familiar/bowl/bowl_x_x@2x.png;  Stage ID : -4750960333630540150},
Interaction,16,iPad,{ Type : Touch;  Time Start : 26-Oct 15:31:55:962 PM;  Object : Object;  Fox Assistance : None;  Subject ID : 10261601;  Stage ID : -4750960333630540150},
Session,16,iPad,{ Stage Type : Pair (New);  Subject ID : 10261601;  Fox Assistance : Helped;  Start Time : 26-Oct 15:31:57:063 PM;  Responsive Start Time : 26-Oct 15:31:59:310 PM;  Correct First Try? : Y;  Object : flower;  Trial Type : FF;  Stage ID : 5709903485567757189;  End Time : 26-Oct 15:32:16:529 PM},
Object Category,16,iPad,{ Subject ID : 10261601;  Category : Left;  Object 1 : Objects/familiar/flower/flower_x_x@2x.png;  Stage ID : 5709903485567757189},
Object Category,16,iPad,{ Subject ID : 10261601;  Category : Right;  Object 1 : Objects/familiar/bowl/bowl_x_x@2x.png;  Stage ID : 5709903485567757189},
Interaction,16,iPad,{ Type : Touch;  Time Start : 26-Oct 15:32:14:852 PM;  Object : Fox;  Fox Assistance : Helped;  Subject ID : 10261601;  Stage ID : 5709903485567757189},
Interaction,16,iPad,{ Type : Touch;  Time Start : 26-Oct 15:32:16:528 PM;  Object : Choice 1;  Fox Assistance : Helped;  Subject ID : 10261601;  Stage ID : 5709903485567757189},
Session,16,iPad,{ Stage Type : Welcome;  Responsive Start Time : 26-Oct 15:32:16:616 PM;  Stage ID : 6489944857074982532;  Subject ID : 10261601;  Start Time : 26-Oct 15:32:16:615 PM;  End Time : 26-Oct 15:32:20:498 PM},
Session,16,iPad,{ Stage Type : Identify;  Subject ID : 10261601;  Fox Assistance : None;  Start Time : 26-Oct 15:32:20:627 PM;  Responsive Start Time : 26-Oct 15:32:22:579 PM;  Correct First Try? : Y;  Object : cookie;  Stage ID : 4881156045033817730;  End Time : 26-Oct 15:32:23:962 PM},
Object Category,16,iPad,{ Subject ID : 10261601;  Category : Target Object;  Object 1 : Objects/familiar/cookie/cookie_x_x@2x.png;  Stage ID : 4881156045033817730},
Interaction,16,iPad,{ Type : Touch;  Time Start : 26-Oct 15:32:22:863 PM;  Object : Object;  Fox Assistance : None;  Subject ID : 10261601;  Stage ID : 4881156045033817730},
Session,16,iPad,{ Stage Type : Pair (New);  Subject ID : 10261601;  Fox Assistance : None;  Start Time : 26-Oct 15:32:24:012 PM;  Responsive Start Time : 26-Oct 15:32:26:045 PM;  Correct First Try? : Y;  Object : shoe;  Trial Type : FF;  Stage ID : -1663614260686573190;  End Time : 26-Oct 15:32:28:097 PM},
Object Category,16,iPad,{ Subject ID : 10261601;  Category : Left;  Object 1 : Objects/familiar/cookie/cookie_x_x@2x.png;  Stage ID : -1663614260686573190},
Object Category,16,iPad,{ Subject ID : 10261601;  Category : Right;  Object 1 : Objects/familiar/shoe/shoe_x_x@2x.png;  Stage ID : -1663614260686573190},
Interaction,16,iPad,{ Type : Touch;  Time Start : 26-Oct 15:32:28:095 PM;  Object : Choice 2;  Fox Assistance : None;  Subject ID : 10261601;  Stage ID : -1663614260686573190},
Session,16,iPad,{ Stage Type : Welcome;  Responsive Start Time : 26-Oct 15:32:28:189 PM;  Stage ID : 4313422005515518092;  Subject ID : 10261601;  Start Time : 26-Oct 15:32:28:188 PM;  End Time : 26-Oct 15:32:30:466 PM},
Session,16,iPad,{ Stage Type : Identify;  Subject ID : 10261601;  Fox Assistance : None;  Start Time : 26-Oct 15:32:30:592 PM;  Responsive Start Time : 26-Oct 15:32:32:196 PM;  Correct First Try? : Y;  Object : guitar;  Stage ID : 7271133165608687236;  End Time : 26-Oct 15:32:35:296 PM},
Object Category,16,iPad,{ Subject ID : 10261601;  Category : Target Object;  Object 1 : Objects/familiar/guitar/guitar_t_wood@2x.png;  Stage ID : 7271133165608687236},
Interaction,16,iPad,{ Type : Touch;  Time Start : 26-Oct 15:32:34:279 PM;  Object : Object;  Fox Assistance : None;  Subject ID : 10261601;  Stage ID : 7271133165608687236},
Session,16,iPad,{ Stage Type : Pair (Repeated);  Subject ID : 10261601;  Fox Assistance : None;  Start Time : 26-Oct 15:32:35:340 PM;  Responsive Start Time : 26-Oct 15:32:36:729 PM;  Correct First Try? : Y;  Object : guitar;  Trial Type : C-NF;  Stage ID : -3237703653051869824;  End Time : 26-Oct 15:32:39:185 PM},
Object Category,16,iPad,{ Subject ID : 10261601;  Category : Left;  Object 1 : Objects/familiar/guitar/guitar_t_wood@2x.png;  Stage ID : -3237703653051869824},
Object Category,16,iPad,{ Subject ID : 10261601;  Category : Right;  Object 1 : Objects/novel/pipette/pipette_x_x@2x.png;  Stage ID : -3237703653051869824},
Interaction,16,iPad,{ Type : Touch;  Time Start : 26-Oct 15:32:39:180 PM;  Object : Choice 1;  Fox Assistance : None;  Subject ID : 10261601;  Stage ID : -3237703653051869824},
Session,16,iPad,{ Stage Type : Noise Playtime;  Subject ID : 10261601;  Start Time : 26-Oct 15:32:39:284 PM;  Responsive Start Time : 26-Oct 15:32:39:346 PM;  Object : guitar;  Stage ID : -1046139124638414709;  End Time : 26-Oct 15:32:55:237 PM},
Object Category,16,iPad,{ Subject ID : 10261601;  Category : Playtime Object;  Object 1 : Objects/familiar/guitar/guitar_t_wood@2x.png;  Stage ID : -1046139124638414709},
Interaction,16,iPad,{ Type : Touch;  Time Start : 26-Oct 15:32:42:133 PM;  Object : Object 2;  Subject ID : 10261601;  Stage ID : -1046139124638414709},
Interaction (Ignored),16,iPad,{ Type : Touch;  Time Start : 26-Oct 15:32:42:215 PM;  Object : Object 2;  Subject ID : 10261601;  Stage ID : -1046139124638414709},
Interaction,16,iPad,{ Type : Touch;  Time Start : 26-Oct 15:32:42:215 PM;  Object : Fox;  Subject ID : 10261601;  Stage ID : -1046139124638414709},
Interaction,16,iPad,{ Type : Touch;  Time Start : 26-Oct 15:32:42:787 PM;  Object : Object 6;  Subject ID : 10261601;  Stage ID : -1046139124638414709},
Interaction,16,iPad,{ Type : Touch;  Time Start : 26-Oct 15:32:44:884 PM;  Object : Object 5;  Subject ID : 10261601;  Stage ID : -1046139124638414709},
Interaction,16,iPad,{ Type : Touch;  Time Start : 26-Oct 15:32:46:105 PM;  Object : Object 4;  Subject ID : 10261601;  Stage ID : -1046139124638414709},
Interaction,16,iPad,{ Type : Touch;  Time Start : 26-Oct 15:32:47:033 PM;  Object : Object 3;  Subject ID : 10261601;  Stage ID : -1046139124638414709},
Interaction,16,iPad,{ Type : Touch;  Time Start : 26-Oct 15:32:48:205 PM;  Object : Object 4;  Subject ID : 10261601;  Stage ID : -1046139124638414709},
Interaction,16,iPad,{ Type : Touch;  Time Start : 26-Oct 15:32:48:799 PM;  Object : Background;  Subject ID : 10261601;  Stage ID : -1046139124638414709},
Interaction,16,iPad,{ Type : Touch;  Time Start : 26-Oct 15:32:50:401 PM;  Object : Object 0;  Subject ID : 10261601;  Stage ID : -1046139124638414709},
Interaction,16,iPad,{ Type : Touch;  Time Start : 26-Oct 15:32:51:399 PM;  Object : Object 2;  Subject ID : 10261601;  Stage ID : -1046139124638414709},
Interaction,16,iPad,{ Type : Touch;  Time Start : 26-Oct 15:32:52:021 PM;  Object : Object 5;  Subject ID : 10261601;  Stage ID : -1046139124638414709},
Interaction,16,iPad,{ Type : Touch;  Time Start : 26-Oct 15:32:52:921 PM;  Object : Object 6;  Subject ID : 10261601;  Stage ID : -1046139124638414709},
Interaction,16,iPad,{ Type : Touch;  Time Start : 26-Oct 15:32:53:616 PM;  Object : Object 4;  Subject ID : 10261601;  Stage ID : -1046139124638414709},
Session,16,iPad,{ Stage Type : Welcome;  Responsive Start Time : 26-Oct 15:32:55:290 PM;  Stage ID : 371254177347138694;  Subject ID : 10261601;  Start Time : 26-Oct 15:32:55:290 PM;  End Time : 26-Oct 15:32:58:137 PM},
Interaction,16,iPad,{ Type : Touch;  Time Start : 26-Oct 15:32:57:185 PM;  Object : Background;  Subject ID : 10261601;  Stage ID : 371254177347138694},
Session,16,iPad,{ Stage Type : Identify;  Subject ID : 10261601;  Fox Assistance : None;  Start Time : 26-Oct 15:32:58:256 PM;  Responsive Start Time : 26-Oct 15:33:00:030 PM;  Correct First Try? : Y;  Object : ball;  Stage ID : -8165008036077696117;  End Time : 26-Oct 15:33:01:448 PM},
Object Category,16,iPad,{ Subject ID : 10261601;  Category : Target Object;  Object 1 : Objects/familiar/ball/ball_x_x@2x.png;  Stage ID : -8165008036077696117},
Interaction,16,iPad,{ Type : Touch;  Time Start : 26-Oct 15:33:00:346 PM;  Object : Object;  Fox Assistance : None;  Subject ID : 10261601;  Stage ID : -8165008036077696117},
Session,16,iPad,{ Stage Type : Pair (New);  Subject ID : 10261601;  Fox Assistance : None;  Start Time : 26-Oct 15:33:01:497 PM;  Responsive Start Time : 26-Oct 15:33:03:047 PM;  Correct First Try? : Y;  Object : dulcimer;  Trial Type : NF;  Stage ID : 2384218676315150727;  End Time : 26-Oct 15:33:04:998 PM},
Object Category,16,iPad,{ Subject ID : 10261601;  Category : Left;  Object 1 : Objects/familiar/ball/ball_x_x@2x.png;  Stage ID : 2384218676315150727},
Object Category,16,iPad,{ Subject ID : 10261601;  Category : Right;  Object 1 : Objects/novel/dulcimer/dulcimer_x_x@2x.png;  Stage ID : 2384218676315150727},
Interaction,16,iPad,{ Type : Touch;  Time Start : 26-Oct 15:33:04:997 PM;  Object : Choice 2;  Fox Assistance : None;  Subject ID : 10261601;  Stage ID : 2384218676315150727},
Session,16,iPad,{ Stage Type : Welcome;  Responsive Start Time : 26-Oct 15:33:05:091 PM;  Stage ID : -965157348711281536;  Subject ID : 10261601;  Start Time : 26-Oct 15:33:05:090 PM;  End Time : 26-Oct 15:33:08:968 PM},
Session,16,iPad,{ Stage Type : Identify;  Subject ID : 10261601;  Fox Assistance : None;  Start Time : 26-Oct 15:33:09:082 PM;  Responsive Start Time : 26-Oct 15:33:10:764 PM;  Correct First Try? : Y;  Object : helm;  Stage ID : 1212782769739459205;  End Time : 26-Oct 15:33:14:548 PM},
Object Category,16,iPad,{ Subject ID : 10261601;  Category : Target Object;  Object 1 : Objects/novel/helm/helm_x_x@2x.png;  Stage ID : 1212782769739459205},
Interaction,16,iPad,{ Type : Touch;  Time Start : 26-Oct 15:33:13:531 PM;  Object : Object;  Fox Assistance : None;  Subject ID : 10261601;  Stage ID : 1212782769739459205},
Session,16,iPad,{ Stage Type : Pair (Repeated);  Subject ID : 10261601;  Fox Assistance : None;  Start Time : 26-Oct 15:33:14:564 PM;  Responsive Start Time : 26-Oct 15:33:15:982 PM;  Correct First Try? : N;  Object : helm;  Trial Type : C-NN;  Stage ID : -2618273487631423866;  End Time : 26-Oct 15:33:18:963 PM},
Object Category,16,iPad,{ Subject ID : 10261601;  Category : Left;  Object 1 : Objects/novel/chestnut/chestnut_x_x@2x.png;  Stage ID : -2618273487631423866},
Object Category,16,iPad,{ Subject ID : 10261601;  Category : Right;  Object 1 : Objects/novel/helm/helm_x_x@2x.png;  Stage ID : -2618273487631423866},
Interaction,16,iPad,{ Type : Touch;  Time Start : 26-Oct 15:33:18:932 PM;  Object : Choice 1;  Fox Assistance : None;  Subject ID : 10261601;  Stage ID : -2618273487631423866},
Session,16,iPad,{ Stage Type : Welcome;  Responsive Start Time : 26-Oct 15:33:19:043 PM;  Stage ID : 1840546876798853762;  Subject ID : 10261601;  Start Time : 26-Oct 15:33:19:042 PM;  End Time : 26-Oct 15:33:21:318 PM},
Session,16,iPad,{ Stage Type : Identify;  Subject ID : 10261601;  Fox Assistance : None;  Start Time : 26-Oct 15:33:21:428 PM;  Responsive Start Time : 26-Oct 15:33:23:432 PM;  Correct First Try? : Y;  Object : radish;  Stage ID : 3933646473311211651;  End Time : 26-Oct 15:33:27:482 PM},
Object Category,16,iPad,{ Subject ID : 10261601;  Category : Target Object;  Object 1 : Objects/novel/radish/radish_x_x@2x.png;  Stage ID : 3933646473311211651},
Interaction (Ignored),16,iPad,{ Type : Touch;  Time Start : 26-Oct 15:33:23:334 PM;  Object : Object;  Fox Assistance : None;  Subject ID : 10261601;  Stage ID : 3933646473311211651},
Interaction,16,iPad,{ Type : Touch;  Time Start : 26-Oct 15:33:26:466 PM;  Object : Object;  Fox Assistance : None;  Subject ID : 10261601;  Stage ID : 3933646473311211651},
Session,16,iPad,{ Stage Type : Pair (New);  Subject ID : 10261601;  Fox Assistance : None;  Start Time : 26-Oct 15:33:27:537 PM;  Responsive Start Time : 26-Oct 15:33:28:715 PM;  Correct First Try? : Y;  Object : bung;  Trial Type : NN;  Stage ID : -9066386844971040630;  End Time : 26-Oct 15:33:30:450 PM},
Object Category,16,iPad,{ Subject ID : 10261601;  Category : Left;  Object 1 : Objects/novel/radish/radish_x_x@2x.png;  Stage ID : -9066386844971040630},
Object Category,16,iPad,{ Subject ID : 10261601;  Category : Right;  Object 1 : Objects/novel/bung/bung_x_x@2x.png;  Stage ID : -9066386844971040630},
Interaction,16,iPad,{ Type : Touch;  Time Start : 26-Oct 15:33:30:449 PM;  Object : Choice 2;  Fox Assistance : None;  Subject ID : 10261601;  Stage ID : -9066386844971040630},
Session,16,iPad,{ Stage Type : Bubble Playtime;  Subject ID : 10261601;  Start Time : 26-Oct 15:33:30:556 PM;  Responsive Start Time : 26-Oct 15:33:31:960 PM;  Object : bung;  Stage ID : -1779566186039878523;  End Time : 26-Oct 15:33:50:270 PM},
Object Category,16,iPad,{ Subject ID : 10261601;  Category : Playtime Object;  Object 1 : Objects/novel/bung/bung_x_x@2x.png;  Stage ID : -1779566186039878523},
Interaction,16,iPad,{ Type : Touch;  Time Start : 26-Oct 15:33:34:356 PM;  Object : Bubble;  Subject ID : 10261601;  Stage ID : -1779566186039878523},
Interaction,16,iPad,{ Type : Touch;  Time Start : 26-Oct 15:33:34:434 PM;  Object : Small Bubble;  Subject ID : 10261601;  Stage ID : -1779566186039878523},
Interaction,16,iPad,{ Type : Touch;  Time Start : 26-Oct 15:33:34:468 PM;  Object : Small Bubble;  Subject ID : 10261601;  Stage ID : -1779566186039878523},
Interaction,16,iPad,{ Type : Touch;  Time Start : 26-Oct 15:33:35:674 PM;  Object : Bubble;  Subject ID : 10261601;  Stage ID : -1779566186039878523},
Interaction,16,iPad,{ Type : Touch;  Time Start : 26-Oct 15:33:35:727 PM;  Object : Small Bubble;  Subject ID : 10261601;  Stage ID : -1779566186039878523},
Interaction,16,iPad,{ Type : Touch;  Time Start : 26-Oct 15:33:35:784 PM;  Object : Small Bubble;  Subject ID : 10261601;  Stage ID : -1779566186039878523},
Interaction,16,iPad,{ Type : Touch;  Time Start : 26-Oct 15:33:35:801 PM;  Object : Small Bubble;  Subject ID : 10261601;  Stage ID : -1779566186039878523},
Interaction,16,iPad,{ Type : Touch;  Time Start : 26-Oct 15:33:37:690 PM;  Object : Small Bubble;  Subject ID : 10261601;  Stage ID : -1779566186039878523},
Interaction,16,iPad,{ Type : Touch;  Time Start : 26-Oct 15:33:38:419 PM;  Object : Small Bubble;  Subject ID : 10261601;  Stage ID : -1779566186039878523},
Interaction,16,iPad,{ Type : Touch;  Time Start : 26-Oct 15:33:39:325 PM;  Object : Small Bubble;  Subject ID : 10261601;  Stage ID : -1779566186039878523},
Interaction,16,iPad,{ Type : Touch;  Time Start : 26-Oct 15:33:40:119 PM;  Object : Bubble;  Subject ID : 10261601;  Stage ID : -1779566186039878523},
Interaction,16,iPad,{ Type : Touch;  Time Start : 26-Oct 15:33:40:836 PM;  Object : Bubble;  Subject ID : 10261601;  Stage ID : -1779566186039878523},
Interaction,16,iPad,{ Type : Touch;  Time Start : 26-Oct 15:33:43:391 PM;  Object : Bubble;  Subject ID : 10261601;  Stage ID : -1779566186039878523},
Interaction,16,iPad,{ Type : Touch;  Time Start : 26-Oct 15:33:44:570 PM;  Object : Small Bubble;  Subject ID : 10261601;  Stage ID : -1779566186039878523},
Interaction,16,iPad,{ Type : Touch;  Time Start : 26-Oct 15:33:46:420 PM;  Object : Bubble;  Subject ID : 10261601;  Stage ID : -1779566186039878523},
Interaction,16,iPad,{ Type : Touch;  Time Start : 26-Oct 15:33:48:241 PM;  Object : Bubble;  Subject ID : 10261601;  Stage ID : -1779566186039878523},
Session,16,iPad,{ Stage Type : Welcome;  Responsive Start Time : 26-Oct 15:33:50:327 PM;  Stage ID : -1965147920711952766;  Subject ID : 10261601;  Start Time : 26-Oct 15:33:50:326 PM;  End Time : 26-Oct 15:33:54:172 PM},
Interaction,16,iPad,{ Type : Touch;  Time Start : 26-Oct 15:33:53:191 PM;  Object : Background;  Subject ID : 10261601;  Stage ID : -1965147920711952766},
Session,16,iPad,{ Stage Type : Identify;  Subject ID : 10261601;  Fox Assistance : None;  Start Time : 26-Oct 15:33:54:274 PM;  Responsive Start Time : 26-Oct 15:33:56:317 PM;  Correct First Try? : Y;  Object : bottle;  Stage ID : 512342170888305544;  End Time : 26-Oct 15:33:57:801 PM},
Object Category,16,iPad,{ Subject ID : 10261601;  Category : Target Object;  Object 1 : Objects/familiar/bottle/bottle_x_x@2x.png;  Stage ID : 512342170888305544},
Interaction,16,iPad,{ Type : Touch;  Time Start : 26-Oct 15:33:56:505 PM;  Object : Background;  Fox Assistance : None;  Subject ID : 10261601;  Stage ID : 512342170888305544},
Interaction,16,iPad,{ Type : Touch;  Time Start : 26-Oct 15:33:56:750 PM;  Object : Object;  Fox Assistance : None;  Subject ID : 10261601;  Stage ID : 512342170888305544},
Session,16,iPad,{ Stage Type : Pair (New);  Subject ID : 10261601;  Fox Assistance : None;  Start Time : 26-Oct 15:33:57:853 PM;  Responsive Start Time : 26-Oct 15:33:59:001 PM;  Correct First Try? : Y;  Object : kettle;  Trial Type : NF;  Stage ID : 1268363216668074894;  End Time : 26-Oct 15:34:00:801 PM},
Object Category,16,iPad,{ Subject ID : 10261601;  Category : Left;  Object 1 : Objects/novel/kettle/kettle_x_x@2x.png;  Stage ID : 1268363216668074894},
Object Category,16,iPad,{ Subject ID : 10261601;  Category : Right;  Object 1 : Objects/familiar/bottle/bottle_x_x@2x.png;  Stage ID : 1268363216668074894},
Interaction,16,iPad,{ Type : Touch;  Time Start : 26-Oct 15:34:00:800 PM;  Object : Choice 1;  Fox Assistance : None;  Subject ID : 10261601;  Stage ID : 1268363216668074894},
Session,16,iPad,{ Stage Type : Welcome;  Responsive Start Time : 26-Oct 15:34:00:890 PM;  Stage ID : 8625613085377163916;  Subject ID : 10261601;  Start Time : 26-Oct 15:34:00:889 PM;  End Time : 26-Oct 15:34:03:172 PM},
Session,16,iPad,{ Stage Type : Identify;  Subject ID : 10261601;  Fox Assistance : None;  Start Time : 26-Oct 15:34:03:251 PM;  Responsive Start Time : 26-Oct 15:34:05:617 PM;  Correct First Try? : Y;  Object : tongs;  Stage ID : -8348573134702066306;  End Time : 26-Oct 15:34:07:068 PM},
Object Category,16,iPad,{ Subject ID : 10261601;  Category : Target Object;  Object 1 : Objects/novel/tongs/tongs_x_x@2x.png;  Stage ID : -8348573134702066306},
Interaction,16,iPad,{ Type : Touch;  Time Start : 26-Oct 15:34:06:034 PM;  Object : Object;  Fox Assistance : None;  Subject ID : 10261601;  Stage ID : -8348573134702066306},
Session,16,iPad,{ Stage Type : Pair (New);  Subject ID : 10261601;  Fox Assistance : None;  Start Time : 26-Oct 15:34:07:110 PM;  Responsive Start Time : 26-Oct 15:34:08:818 PM;  Correct First Try? : Y;  Object : leek;  Trial Type : NN;  Stage ID : -8504787832296584836;  End Time : 26-Oct 15:34:11:601 PM},
Object Category,16,iPad,{ Subject ID : 10261601;  Category : Left;  Object 1 : Objects/novel/leek/leek_x_x@2x.png;  Stage ID : -8504787832296584836},
Object Category,16,iPad,{ Subject ID : 10261601;  Category : Right;  Object 1 : Objects/novel/tongs/tongs_x_x@2x.png;  Stage ID : -8504787832296584836},
Interaction (Ignored),16,iPad,{ Type : Touch;  Time Start : 26-Oct 15:34:11:439 PM;  Object : Choice 1;  Fox Assistance : None;  Subject ID : 10261601;  Stage ID : -8504787832296584836},
Interaction,16,iPad,{ Type : Touch;  Time Start : 26-Oct 15:34:11:585 PM;  Object : Choice 1;  Fox Assistance : None;  Subject ID : 10261601;  Stage ID : -8504787832296584836},
Session,16,iPad,{ Stage Type : Welcome;  Responsive Start Time : 26-Oct 15:34:11:687 PM;  Stage ID : -1090177101347033463;  Subject ID : 10261601;  Start Time : 26-Oct 15:34:11:686 PM;  End Time : 26-Oct 15:34:14:557 PM},
Session,16,iPad,{ Stage Type : Identify;  Subject ID : 10261601;  Fox Assistance : None;  Start Time : 26-Oct 15:34:14:685 PM;  Responsive Start Time : 26-Oct 15:34:17:352 PM;  Correct First Try? : Y;  Object : bok-choy;  Stage ID : -8463371585633517429;  End Time : 26-Oct 15:34:27:403 PM},
Object Category,16,iPad,{ Subject ID : 10261601;  Category : Target Object;  Object 1 : Objects/novel/bok-choy/bok-choy_x_x@2x.png;  Stage ID : -8463371585633517429},
Interaction,16,iPad,{ Type : Touch;  Time Start : 26-Oct 15:34:26:386 PM;  Object : Object;  Fox Assistance : None;  Subject ID : 10261601;  Stage ID : -8463371585633517429},
Session,16,iPad,{ Stage Type : Pair (Repeated);  Subject ID : 10261601;  Fox Assistance : None;  Start Time : 26-Oct 15:34:27:456 PM;  Responsive Start Time : 26-Oct 15:34:29:936 PM;  Correct First Try? : Y;  Object : bok-choy;  Trial Type : C-NN;  Stage ID : 628068704569395851;  End Time : 26-Oct 15:34:38:737 PM},
